*****************************
Basic coeficients
*****************************
Alpha, Cd
   15.00    ,     .000    
   20.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,   -.3431E-02
  -15.00    ,   -.3431E-02
  -10.00    ,   -.3431E-02
  -5.000    ,   -.3431E-02
    .000    ,   -.3431E-02
   5.000    ,   -.3431E-02
   10.00    ,   -.3431E-02
   15.00    ,   -.3431E-02
   20.00    ,   -.3431E-02

DeltaElev, Chd_Elev
  -20.00    ,   -.6573E-02
  -15.00    ,   -.6110E-02
  -10.00    ,   -.6023E-02
  -5.000    ,   -.6023E-02
    .000    ,   -.6023E-02
   5.000    ,   -.6023E-02
   10.00    ,   -.6023E-02
   15.00    ,   -.6110E-02
   20.00    ,   -.6573E-02



